source_type_encoded,location_type_encoded,province_encoded,number_of_people_served,hour,day_of_week,is_weekend,time_in_queue
2,1,0,584,11,1,0,0
3,1,3,796,12,1,0,0
1,1,2,270,12,1,0,42
2,1,0,446,12,1,0,0
3,1,2,746,12,1,0,0
2,1,3,916,12,1,0,0
4,0,1,322,12,1,0,0
0,1,4,452,13,1,0,10
4,0,3,212,13,1,0,0
1,0,0,1442,13,1,0,127
1,1,1,1788,13,1,0,24
4,1,0,236,13,1,0,0
4,0,0,350,13,1,0,0
3,1,1,398,13,1,0,0
2,0,4,774,14,1,0,0
4,1,3,318,14,1,0,0
1,0,0,1694,14,1,0,145
4,0,2,210,14,1,0,0
4,0,3,208,14,1,0,0
2,0,3,854,14,1,0,0
3,0,1,514,14,1,0,0
2,0,3,594,14,1,0,0
2,1,1,700,14,1,0,0
2,0,4,718,14,1,0,0
1,0,4,496,14,1,0,56
2,1,0,636,15,1,0,0
4,0,0,308,15,1,0,0
3,0,3,834,15,1,0,0
0,0,4,846,15,1,0,25
4,0,3,216,15,1,0,0
2,0,0,972,16,1,0,0
2,0,2,400,16,1,0,0
3,1,1,822,16,1,0,0
2,1,3,348,16,1,0,0
4,0,0,170,16,1,0,0
0,1,1,988,16,1,0,20
1,1,1,2324,16,1,0,27
1,0,2,3168,16,1,0,30
1,0,3,2050,16,1,0,175
3,1,1,736,16,1,0,0
1,0,3,2602,17,1,0,226
1,0,3,462,6,2,0,36
1,0,3,2050,7,2,0,80
1,0,0,2160,9,2,0,179
0,0,3,760,9,2,0,5
2,0,2,850,9,2,0,0
0,0,4,978,9,2,0,10
2,1,1,526,9,2,0,0
1,0,4,3526,9,2,0,30
3,0,1,958,9,2,0,0
3,0,1,644,10,2,0,0
2,0,3,990,10,2,0,0
4,0,3,232,10,2,0,0
4,0,0,338,10,2,0,0
3,0,1,698,10,2,0,0
2,0,1,360,10,2,0,0
4,0,2,202,10,2,0,0
1,1,4,2454,10,2,0,27
4,1,2,314,10,2,0,0
1,0,2,718,10,2,0,18
2,0,4,396,10,2,0,0
4,0,0,390,10,2,0,0
1,1,3,3360,10,2,0,242
4,1,2,308,10,2,0,0
0,0,0,846,10,2,0,23
4,1,0,352,11,2,0,0
1,0,1,1996,11,2,0,167
2,1,0,826,11,2,0,0
1,0,2,542,11,2,0,39
3,0,1,518,11,2,0,0
4,1,0,346,11,2,0,0
4,0,0,302,11,2,0,0
1,1,1,594,12,2,0,18
3,1,0,732,12,2,0,0
1,1,2,270,12,2,0,24
3,1,2,992,12,2,0,0
4,1,2,348,12,2,0,0
1,1,3,1380,12,2,0,110
4,0,4,196,12,2,0,0
4,0,0,330,12,2,0,0
1,0,2,1626,13,2,0,23
4,0,0,314,13,2,0,0
3,1,2,556,13,2,0,0
4,1,3,248,13,2,0,0
4,0,4,288,13,2,0,0
4,0,0,214,13,2,0,0
2,0,1,640,14,2,0,0
2,0,4,628,14,2,0,0
4,0,3,302,14,2,0,0
4,0,3,386,14,2,0,0
1,0,4,496,14,2,0,32
4,1,3,242,14,2,0,0
4,0,0,164,14,2,0,0
2,1,4,366,14,2,0,0
4,1,3,186,14,2,0,0
4,0,2,210,14,2,0,0
4,0,3,270,14,2,0,0
1,0,4,3816,14,2,0,240
1,0,3,2602,14,2,0,94
4,0,3,302,14,2,0,0
1,0,3,3944,15,2,0,240
4,0,3,296,15,2,0,0
1,0,3,2100,15,2,0,25
2,1,1,888,15,2,0,0
1,0,0,2384,15,2,0,27
4,0,2,348,15,2,0,0
1,1,1,238,15,2,0,40
1,0,0,1694,15,2,0,70
1,0,4,3746,15,2,0,93
3,1,3,648,15,2,0,0
2,0,1,960,15,2,0,0
4,1,0,186,16,2,0,0
4,1,3,266,16,2,0,0
1,0,3,1068,16,2,0,100
1,0,0,1442,18,2,0,48
1,0,4,3816,6,3,0,208
1,0,0,1442,7,3,0,99
1,1,1,238,7,3,0,31
1,1,2,270,7,3,0,28
1,0,3,2050,8,3,0,82
4,0,0,314,9,3,0,0
2,1,1,494,9,3,0,0
4,0,4,242,9,3,0,0
3,0,3,716,9,3,0,0
4,1,4,208,9,3,0,0
2,0,0,822,9,3,0,0
4,1,4,286,9,3,0,0
3,0,4,874,9,3,0,0
3,1,3,422,9,3,0,0
1,0,3,1698,9,3,0,146
2,1,1,608,9,3,0,0
4,0,0,332,9,3,0,0
1,0,3,1068,9,3,0,85
2,1,0,672,9,3,0,0
1,0,0,1694,10,3,0,104
4,0,0,206,10,3,0,0
3,1,1,538,10,3,0,0
4,0,3,282,10,3,0,0
1,1,1,1260,10,3,0,114
4,0,4,322,10,3,0,0
4,1,0,196,10,3,0,0
3,0,2,484,10,3,0,0
2,0,3,774,11,3,0,0
3,1,1,416,11,3,0,0
3,1,1,538,11,3,0,0
2,1,4,960,11,3,0,0
1,0,0,1550,11,3,0,135
4,0,4,324,11,3,0,0
4,0,3,250,11,3,0,0
4,0,3,162,11,3,0,0
4,0,0,296,11,3,0,0
2,1,4,484,11,3,0,0
1,0,2,542,12,3,0,28
4,0,3,258,12,3,0,0
2,1,4,912,12,3,0,0
1,0,1,1996,12,3,0,118
1,0,3,2602,12,3,0,229
1,1,3,3360,12,3,0,226
1,0,4,496,12,3,0,52
4,0,2,186,12,3,0,0
2,0,3,580,12,3,0,0
4,0,0,380,12,3,0,0
1,1,3,1380,12,3,0,57
1,0,4,3746,12,3,0,174
4,1,0,312,13,3,0,0
4,0,2,396,13,3,0,0
4,0,4,278,13,3,0,0
4,0,3,246,13,3,0,0
4,0,2,232,13,3,0,0
1,1,3,910,13,3,0,19
3,1,0,638,14,3,0,0
2,1,1,800,14,3,0,0
2,0,3,446,14,3,0,0
0,0,3,654,14,3,0,28
4,1,0,294,14,3,0,0
4,1,3,248,14,3,0,0
3,1,3,306,14,3,0,0
1,0,3,3944,14,3,0,250
3,0,1,662,14,3,0,0
4,0,2,178,14,3,0,0
3,1,1,868,15,3,0,0
1,0,0,2160,15,3,0,194
4,0,3,270,15,3,0,0
1,1,4,1520,15,3,0,133
4,0,0,264,15,3,0,0
3,1,2,670,15,3,0,0
2,1,1,838,15,3,0,0
4,1,1,338,15,3,0,0
2,0,0,730,16,3,0,0
4,0,3,262,16,3,0,0
0,0,4,714,16,3,0,14
0,0,4,722,16,3,0,7
4,1,3,374,16,3,0,0
4,1,2,320,16,3,0,0
4,0,0,188,16,3,0,0
2,1,4,462,16,3,0,0
1,0,3,462,17,3,0,46
1,0,2,542,6,4,0,87
1,0,3,1698,6,4,0,138
1,0,3,3944,7,4,0,250
1,0,3,2050,7,4,0,217
1,1,2,270,8,4,0,21
1,0,1,1996,8,4,0,201
1,0,0,1442,8,4,0,144
4,1,3,308,9,4,0,0
3,1,1,484,9,4,0,0
1,0,0,2160,9,4,0,210
4,0,2,360,9,4,0,0
1,1,1,1260,9,4,0,119
4,1,2,362,9,4,0,0
1,0,3,1352,10,4,0,21
0,0,3,712,10,4,0,10
4,0,1,360,10,4,0,0
3,0,1,460,10,4,0,0
1,0,1,3618,10,4,0,30
4,0,3,264,10,4,0,0
3,1,2,744,10,4,0,0
4,1,2,214,10,4,0,0
4,1,3,182,10,4,0,0
4,0,3,288,10,4,0,0
2,1,3,308,10,4,0,0
4,0,0,160,10,4,0,0
3,0,1,402,10,4,0,0
1,0,0,1550,10,4,0,148
3,1,4,896,11,4,0,0
1,0,4,2446,11,4,0,200
4,0,1,172,11,4,0,0
2,0,2,434,11,4,0,0
4,0,4,330,11,4,0,0
4,1,0,394,11,4,0,0
4,1,4,334,12,4,0,0
1,0,3,462,12,4,0,59
3,1,3,780,12,4,0,0
1,0,0,1894,12,4,0,24
3,1,2,464,12,4,0,0
1,1,1,1126,12,4,0,20
4,0,4,240,12,4,0,0
4,0,0,290,12,4,0,0
2,0,2,606,12,4,0,0
3,1,2,660,13,4,0,0
4,0,0,286,13,4,0,0
1,1,3,3360,13,4,0,184
2,1,2,946,13,4,0,0
1,0,4,3746,13,4,0,199
2,0,2,722,13,4,0,0
1,0,4,496,13,4,0,32
1,0,2,3772,13,4,0,240
1,1,1,238,14,4,0,46
4,1,3,386,14,4,0,0
0,0,0,782,14,4,0,29
2,0,0,406,14,4,0,0
2,1,3,706,14,4,0,0
1,0,4,3816,14,4,0,281
2,1,3,886,14,4,0,0
3,0,3,666,14,4,0,0
4,1,3,354,14,4,0,0
4,0,0,172,14,4,0,0
3,1,2,704,14,4,0,0
4,1,2,232,15,4,0,0
3,0,4,516,15,4,0,0
2,0,0,998,15,4,0,0
3,1,3,908,15,4,0,0
4,1,3,308,15,4,0,0
1,1,1,3862,15,4,0,30
4,1,0,166,15,4,0,0
3,1,4,568,15,4,0,0
1,1,4,1520,15,4,0,126
2,0,1,310,16,4,0,0
1,0,3,1068,16,4,0,125
4,1,4,296,16,4,0,0
4,1,1,184,16,4,0,0
2,1,4,804,16,4,0,0
4,0,2,174,16,4,0,0
4,0,2,194,16,4,0,0
0,0,4,840,16,4,0,7
4,0,1,220,16,4,0,0
1,1,3,1380,16,4,0,137
3,1,1,420,16,4,0,0
0,1,1,602,16,4,0,7
1,0,0,1694,16,4,0,73
1,0,3,2602,17,4,0,152
1,1,3,1380,6,5,1,143
1,1,1,238,7,5,1,77
1,0,0,1694,8,5,1,321
1,0,0,1442,8,5,1,139
1,0,4,3816,9,5,1,300
1,1,1,1260,9,5,1,151
1,1,3,3360,10,5,1,329
1,0,2,3772,10,5,1,497
1,0,0,2160,11,5,1,281
1,0,1,1996,11,5,1,265
1,0,4,496,11,5,1,94
1,0,4,2446,12,5,1,355
1,0,3,1068,12,5,1,98
1,1,2,270,15,5,1,94
1,0,0,1550,15,5,1,288
1,0,3,1698,15,5,1,311
1,1,4,1520,17,5,1,230
1,0,3,3944,18,5,1,468
1,0,4,3816,6,6,1,154
1,0,4,496,7,6,1,31
1,1,4,1520,7,6,1,42
1,0,0,2160,8,6,1,76
1,0,4,2446,9,6,1,95
1,1,3,1380,11,6,1,60
1,0,0,1550,11,6,1,65
1,0,3,1068,11,6,1,44
1,0,1,1996,12,6,1,69
1,0,0,1442,12,6,1,40
1,0,0,1694,13,6,1,63
1,1,3,3360,13,6,1,135
1,0,3,1698,16,6,1,76
1,1,2,270,16,6,1,18
1,0,3,3944,18,6,1,87
1,1,1,238,18,6,1,22
1,1,1,1260,18,6,1,59
1,0,2,3772,18,6,1,94
1,0,0,1694,6,0,0,123
1,0,3,1068,6,0,0,62
1,1,1,238,6,0,0,26
1,1,4,1520,6,0,0,201
1,1,3,1380,6,0,0,132
1,0,3,1698,8,0,0,174
1,0,2,3772,8,0,0,362
4,1,4,288,9,0,0,0
3,0,0,378,9,0,0,0
4,1,3,328,9,0,0,0
2,1,3,652,9,0,0,0
2,0,2,304,9,0,0,0
1,0,2,3626,9,0,0,30
4,0,4,254,10,0,0,0
3,1,3,820,10,0,0,0
2,1,3,978,10,0,0,0
1,0,0,1550,10,0,0,102
2,0,1,636,10,0,0,0
4,0,0,350,10,0,0,0
4,1,3,360,10,0,0,0
1,0,2,2636,10,0,0,214
1,0,3,1974,10,0,0,25
1,1,0,3848,10,0,0,30
4,0,4,292,11,0,0,0
2,1,0,560,11,0,0,0
2,1,1,642,11,0,0,0
1,1,1,1260,11,0,0,88
1,1,4,706,11,0,0,18
4,0,1,300,11,0,0,0
1,0,3,2628,11,0,0,28
4,1,2,194,11,0,0,0
1,0,4,478,12,0,0,57
4,0,2,342,12,0,0,0
1,1,3,3360,12,0,0,145
4,0,0,192,12,0,0,0
4,1,0,176,12,0,0,0
1,0,0,1442,12,0,0,149
3,0,1,928,12,0,0,0
3,0,3,334,13,0,0,0
2,0,3,622,13,0,0,0
1,0,2,2928,13,0,0,30
2,0,2,974,13,0,0,0
4,0,4,336,13,0,0,0
4,1,0,380,13,0,0,0
2,1,4,918,13,0,0,0
4,0,1,210,13,0,0,0
1,0,0,2160,14,0,0,173
4,0,2,350,14,0,0,0
4,0,3,196,14,0,0,0
3,1,3,378,14,0,0,0
1,0,1,1996,14,0,0,179
2,1,4,810,14,0,0,0
1,1,2,270,14,0,0,37
4,0,0,196,14,0,0,0
1,0,4,3058,14,0,0,240
2,1,1,374,14,0,0,0
3,0,2,632,14,0,0,0
4,1,3,170,14,0,0,0
1,0,1,316,14,0,0,46
2,1,1,906,15,0,0,0
4,1,4,318,15,0,0,0
4,0,1,212,15,0,0,0
3,0,2,968,15,0,0,0
2,1,2,890,15,0,0,0
2,1,1,844,15,0,0,0
2,1,4,366,15,0,0,0
4,0,4,258,15,0,0,0
0,0,2,732,15,0,0,8
4,1,0,204,15,0,0,0
2,1,1,610,15,0,0,0
3,1,1,986,15,0,0,0
2,0,0,456,15,0,0,0
1,0,0,430,16,0,0,54
4,0,0,300,16,0,0,0
4,1,3,256,16,0,0,0
3,0,1,572,16,0,0,0
4,1,4,384,16,0,0,0
1,0,0,1436,16,0,0,22
4,0,2,162,16,0,0,0
0,1,3,536,16,0,0,21
4,0,4,390,16,0,0,0
4,0,3,388,16,0,0,0
2,1,1,750,16,0,0,0
2,0,4,932,16,0,0,0
1,0,0,2946,16,0,0,30
2,0,4,518,16,0,0,0
1,0,4,3816,16,0,0,304
1,0,2,848,16,0,0,84
1,0,3,3944,16,0,0,258
1,0,4,496,17,0,0,33
1,0,4,2446,17,0,0,141
1,1,2,270,6,1,0,48
1,0,1,316,7,1,0,27
1,0,0,1694,7,1,0,155
1,1,1,1260,8,1,0,101
1,1,1,238,8,1,0,21
1,1,4,1520,8,1,0,146
2,0,1,940,9,1,0,0
0,1,4,494,9,1,0,23
4,0,2,310,9,1,0,0
3,1,0,616,9,1,0,0
0,0,4,594,9,1,0,5
3,0,0,880,9,1,0,0
2,0,4,822,9,1,0,0
4,1,4,384,9,1,0,0
1,0,4,3816,9,1,0,104
1,0,3,1068,9,1,0,91
4,0,4,292,9,1,0,0
4,1,3,160,9,1,0,0
2,1,1,654,9,1,0,0
1,0,1,3312,10,1,0,240
1,0,4,3058,10,1,0,136
4,0,0,204,10,1,0,0
4,1,4,242,10,1,0,0
1,0,3,1902,10,1,0,160
3,1,4,442,10,1,0,0
4,1,3,164,10,1,0,0
0,0,2,682,11,1,0,24
1,0,3,3944,11,1,0,251
1,0,1,2516,11,1,0,205
4,1,0,278,11,1,0,0
4,0,3,356,11,1,0,0
1,1,4,3606,11,1,0,240
4,0,0,218,11,1,0,0
4,0,3,204,11,1,0,0
2,1,3,444,11,1,0,0
4,1,0,372,11,1,0,0
4,0,0,202,11,1,0,0
1,0,1,1996,11,1,0,185
1,0,2,848,11,1,0,41
1,0,2,3796,12,1,0,30
3,1,3,548,12,1,0,0
1,1,1,332,12,1,0,16
0,0,4,600,12,1,0,24
0,1,1,600,12,1,0,21
2,1,0,794,12,1,0,0
4,1,3,312,12,1,0,0
4,1,3,180,12,1,0,0
4,0,4,316,12,1,0,0
4,0,3,396,12,1,0,0
1,0,0,2160,12,1,0,169
1,0,3,1758,12,1,0,24
2,0,0,512,12,1,0,0
0,0,4,650,12,1,0,16
4,1,2,214,12,1,0,0
4,1,1,372,12,1,0,0
1,0,2,2636,12,1,0,164
3,1,0,982,13,1,0,0
0,1,3,806,13,1,0,16
4,1,0,166,13,1,0,0
4,1,3,372,13,1,0,0
4,0,0,358,13,1,0,0
0,1,1,536,14,1,0,13
3,1,2,308,14,1,0,0
4,0,3,174,14,1,0,0
1,1,1,726,14,1,0,18
2,0,3,786,14,1,0,0
2,1,3,390,14,1,0,0
1,0,0,1442,14,1,0,131
0,0,3,866,14,1,0,8
1,0,0,1550,14,1,0,60
4,0,4,396,14,1,0,0
2,0,4,832,14,1,0,0
1,0,4,478,14,1,0,23
4,1,3,250,15,1,0,0
1,0,0,430,15,1,0,63
1,0,4,2446,15,1,0,127
4,1,3,370,15,1,0,0
0,0,4,774,15,1,0,18
4,0,3,220,15,1,0,0
3,1,0,812,15,1,0,0
4,0,1,258,16,1,0,0
1,1,3,1234,16,1,0,21
3,1,0,726,16,1,0,0
4,0,2,202,16,1,0,0
4,0,0,212,16,1,0,0
2,1,3,624,16,1,0,0
0,0,4,822,16,1,0,23
2,0,3,770,16,1,0,0
1,0,3,1698,17,1,0,160
1,0,2,3772,18,1,0,149
1,1,3,3360,18,1,0,250
1,0,3,1698,7,2,0,99
1,1,4,1520,7,2,0,101
1,0,2,2636,8,2,0,168
1,0,4,478,8,2,0,52
1,1,1,238,9,2,0,36
2,0,2,436,9,2,0,0
0,1,3,908,9,2,0,24
4,0,2,264,9,2,0,0
1,0,0,1550,9,2,0,74
0,0,4,856,9,2,0,11
3,1,1,712,9,2,0,0
1,0,3,3944,9,2,0,222
2,1,1,704,10,2,0,0
0,0,4,882,10,2,0,22
4,0,3,294,10,2,0,0
2,1,1,576,10,2,0,0
4,0,0,222,10,2,0,0
2,1,0,722,10,2,0,0
4,1,3,300,10,2,0,0
2,0,0,816,10,2,0,0
4,0,0,230,10,2,0,0
4,0,2,348,11,2,0,0
4,0,1,260,11,2,0,0
2,1,2,736,11,2,0,0
1,0,0,1534,11,2,0,22
4,1,1,250,11,2,0,0
4,0,3,312,11,2,0,0
4,0,1,218,11,2,0,0
0,0,3,464,11,2,0,26
3,0,3,404,12,2,0,0
4,0,3,222,12,2,0,0
1,1,3,766,12,2,0,78
4,0,3,232,12,2,0,0
4,1,2,290,12,2,0,0
1,0,2,1476,12,2,0,130
4,0,3,300,12,2,0,0
1,0,4,2784,13,2,0,29
1,0,4,3058,13,2,0,133
1,0,3,716,13,2,0,75
1,0,0,430,13,2,0,44
1,0,3,3308,13,2,0,30
3,0,4,744,13,2,0,0
3,0,2,430,13,2,0,0
2,1,3,838,13,2,0,0
2,1,1,362,13,2,0,0
2,1,2,666,13,2,0,0
1,0,2,848,13,2,0,40
2,1,1,616,13,2,0,0
4,1,2,164,13,2,0,0
4,0,4,238,13,2,0,0
2,1,3,850,13,2,0,0
1,0,2,3772,13,2,0,90
0,0,4,416,14,2,0,10
0,0,4,536,14,2,0,15
1,0,1,3312,14,2,0,110
4,0,2,272,14,2,0,0
1,0,4,2446,14,2,0,100
2,1,4,532,14,2,0,0
1,0,1,1996,14,2,0,137
1,0,4,3816,14,2,0,199
4,1,3,326,14,2,0,0
4,0,4,264,15,2,0,0
3,1,4,804,15,2,0,0
1,0,4,2324,15,2,0,191
3,1,4,364,15,2,0,0
2,0,1,442,16,2,0,0
3,1,1,422,16,2,0,0
4,1,0,248,16,2,0,0
2,0,1,704,16,2,0,0
3,0,3,634,16,2,0,0
2,1,1,476,16,2,0,0
1,0,0,1164,16,2,0,107
4,0,2,294,16,2,0,0
2,1,0,328,16,2,0,0
1,0,3,1902,16,2,0,115
4,0,0,308,16,2,0,0
1,1,1,1260,16,2,0,119
1,0,1,316,17,2,0,48
1,0,0,2160,17,2,0,88
1,0,1,2516,18,2,0,188
1,1,4,3606,18,2,0,168
1,0,3,1068,18,2,0,37
1,1,4,3606,6,3,0,119
1,1,4,1520,7,3,0,53
1,0,3,1698,7,3,0,111
1,0,0,430,7,3,0,22
1,0,4,2446,8,3,0,185
1,1,1,1260,8,3,0,130
1,0,4,3278,9,3,0,30
1,0,3,942,9,3,0,91
4,0,4,320,9,3,0,0
4,1,2,296,9,3,0,0
1,0,2,848,9,3,0,50
1,0,4,3058,9,3,0,135
4,0,3,168,9,3,0,0
1,0,0,1550,9,3,0,88
3,1,2,818,9,3,0,0
2,1,0,912,9,3,0,0
1,0,4,2324,9,3,0,206
1,0,4,478,9,3,0,43
2,1,3,978,9,3,0,0
1,0,0,3830,10,3,0,240
4,0,0,244,10,3,0,0
1,0,2,3772,10,3,0,260
1,0,2,2636,10,3,0,131
3,0,4,538,10,3,0,0
4,1,3,324,10,3,0,0
3,1,1,716,10,3,0,0
2,0,4,804,10,3,0,0
1,1,1,1444,10,3,0,127
1,0,3,716,10,3,0,65
4,0,0,220,10,3,0,0
1,0,3,1902,11,3,0,181
4,0,0,322,11,3,0,0
1,0,3,850,11,3,0,19
2,0,0,908,11,3,0,0
1,0,4,3662,11,3,0,30
4,1,3,200,11,3,0,0
0,1,3,624,11,3,0,18
2,1,2,310,11,3,0,0
1,0,4,2204,11,3,0,26
4,0,3,238,12,3,0,0
1,0,2,1476,12,3,0,57
2,0,4,504,12,3,0,0
1,0,4,2644,12,3,0,214
3,0,2,626,12,3,0,0
0,1,1,426,12,3,0,25
1,0,1,2516,13,3,0,166
4,0,4,378,13,3,0,0
4,0,0,346,13,3,0,0
1,0,1,316,13,3,0,34
4,0,4,294,13,3,0,0
2,0,1,798,13,3,0,0
4,0,1,238,13,3,0,0
1,0,2,1824,13,3,0,24
3,1,1,614,13,3,0,0
1,0,3,210,13,3,0,38
2,0,3,408,13,3,0,0
3,1,3,638,14,3,0,0
1,1,3,766,14,3,0,53
0,0,3,796,14,3,0,18
4,0,0,166,14,3,0,0
2,0,0,866,14,3,0,0
3,0,1,392,14,3,0,0
2,1,3,998,14,3,0,0
4,0,2,332,14,3,0,0
0,0,4,586,14,3,0,24
1,0,0,1164,14,3,0,69
4,1,4,190,15,3,0,0
1,0,2,1408,15,3,0,125
2,0,2,772,15,3,0,0
4,0,1,348,15,3,0,0
0,0,0,758,15,3,0,6
3,0,1,414,15,3,0,0
4,1,2,222,16,3,0,0
4,0,0,302,16,3,0,0
1,0,1,3312,16,3,0,226
4,1,3,230,16,3,0,0
4,0,4,250,16,3,0,0
2,1,4,826,16,3,0,0
4,1,1,394,16,3,0,0
1,0,0,430,6,4,0,43
1,0,3,210,6,4,0,52
1,0,2,2636,6,4,0,103
1,0,0,1164,7,4,0,116
1,0,2,1408,8,4,0,108
1,0,2,848,8,4,0,99
2,0,3,644,9,4,0,0
4,0,1,382,9,4,0,0
4,1,0,230,9,4,0,0
1,0,3,1530,9,4,0,22
4,0,2,268,9,4,0,0
4,1,3,322,9,4,0,0
2,0,1,998,9,4,0,0
4,0,4,204,9,4,0,0
1,0,4,478,9,4,0,51
1,0,3,2734,9,4,0,29
4,0,4,346,9,4,0,0
3,1,3,440,9,4,0,0
4,1,2,176,9,4,0,0
2,0,4,306,10,4,0,0
3,1,4,720,10,4,0,0
1,1,3,3314,10,4,0,240
4,1,3,328,10,4,0,0
4,0,2,320,10,4,0,0
1,0,1,2516,10,4,0,189
0,0,2,622,10,4,0,6
4,0,0,318,11,4,0,0
0,1,4,576,11,4,0,13
1,1,1,1444,11,4,0,115
2,1,1,580,11,4,0,0
4,0,0,284,11,4,0,0
4,0,4,392,11,4,0,0
2,1,4,916,11,4,0,0
2,0,1,992,12,4,0,0
1,0,3,3004,12,4,0,30
1,0,0,3830,12,4,0,173
0,0,1,504,12,4,0,20
0,0,4,552,12,4,0,25
4,0,0,290,12,4,0,0
