pollutant_ppm,biological,is_contaminated,contamination_type
0.0,495.898,1,Biological
8.59882,0.0,1,Chemical
8.84186,0.0,1,Chemical
7.74549,0.0,1,Chemical
6.62319,0.0,1,Chemical
0.0,267.371,1,Biological
9.09763,0.0,1,Chemical
7.6596,0.0,1,Chemical
8.44749,0.0,1,Chemical
0.0852289,8.73e-05,0,Clean
0.0,6.06022,1,Biological
8.25008,0.0,1,Chemical
0.0865053,4.06e-05,0,Clean
0.0,96.6341,1,Biological
9.9857,0.0,1,Chemical
0.085168,4.11e-05,0,Clean
0.0,485.162,1,Biological
0.0369816,8.38e-05,0,Clean
6.07917,0.0,1,Chemical
6.70047,0.0,1,Chemical
0.0,96.6341,1,Biological
4.89364,0.0,1,Chemical
9.15689,0.0,1,Chemical
0.094754,9.55e-05,0,Clean
0.0,30.8144,1,Biological
9.40892,0.0,1,Chemical
1.91719,0.0,1,Chemical
0.0966968,2.62e-05,0,Clean
1.64722,0.0,1,Chemical
4.94908,0.0,1,Chemical
2.81807,0.0,1,Chemical
0.0859191,4.44e-05,0,Clean
5.54253,0.0,1,Chemical
6.01575,0.0,1,Chemical
9.11716,0.0,1,Chemical
7.34135,0.0,1,Chemical
8.95549,0.0,1,Chemical
3.38886,0.0,1,Chemical
9.9659,0.0,1,Chemical
7.0077,0.0,1,Chemical
0.0909901,4.35e-05,0,Clean
0.0,35.8915,1,Biological
5.62734,0.0,1,Chemical
0.0606088,8.42e-05,0,Clean
6.98444,0.0,1,Chemical
7.06279,0.0,1,Chemical
0.0396479,9.06e-05,0,Clean
0.0858261,4.4e-07,0,Clean
4.19528,0.0,1,Chemical
0.0868878,3.04e-05,0,Clean
0.010007,5.04e-05,0,Clean
0.0109528,6.12e-05,0,Clean
2.62107,0.0,1,Chemical
0.0680549,5.45e-05,0,Clean
3.56051,0.0,1,Chemical
5.6299,0.0,1,Chemical
0.0,37.0141,1,Biological
0.0,182.88,1,Biological
6.75778,0.0,1,Chemical
0.0,27.3962,1,Biological
6.82482,0.0,1,Chemical
8.46065,0.0,1,Chemical
8.36215,0.0,1,Chemical
0.0,96.6341,1,Biological
5.8155,0.0,1,Chemical
4.72476,0.0,1,Chemical
1.32734,0.0,1,Chemical
0.0918475,8.9e-05,0,Clean
0.053975,8.14e-05,0,Clean
0.0696137,4.02e-05,0,Clean
0.0776689,5.69e-05,0,Clean
0.0631376,6.37e-05,0,Clean
4.27496,0.0,1,Chemical
0.0,495.898,1,Biological
0.0567048,4.79e-05,0,Clean
0.0,96.6341,1,Biological
0.088899,4.85e-05,0,Clean
1.9474,0.0,1,Chemical
2.47736,0.0,1,Chemical
0.02986,9.89e-05,0,Clean
9.55177,0.0,1,Chemical
8.33901,0.0,1,Chemical
3.38477,0.0,1,Chemical
0.0,182.88,1,Biological
4.9435,0.0,1,Chemical
7.10122,0.0,1,Chemical
0.0813465,4.88e-05,0,Clean
0.0,25.9385,1,Biological
3.8185,0.0,1,Chemical
0.0491501,4.73e-05,0,Clean
1.75482,0.0,1,Chemical
6.50587,0.0,1,Chemical
0.0121267,9.03e-05,0,Clean
3.46786,0.0,1,Chemical
6.74403,0.0,1,Chemical
0.0690387,9.34e-06,0,Clean
1.2555,0.0,1,Chemical
3.90168,0.0,1,Chemical
0.0,318.664,1,Biological
0.0,182.88,1,Biological
7.72286,0.0,1,Chemical
3.10187,0.0,1,Chemical
0.037144,7.59e-05,0,Clean
3.40753,0.0,1,Chemical
7.03572,0.0,1,Chemical
0.0,47.5042,1,Biological
0.0558025,5.15e-05,0,Clean
0.0,182.88,1,Biological
1.80523,0.0,1,Chemical
0.0,318.664,1,Biological
0.0,495.898,1,Biological
0.0427078,2.98e-05,0,Clean
0.0912472,9.45e-05,0,Clean
5.86319,0.0,1,Chemical
0.0840197,8.33e-05,0,Clean
5.86549,0.0,1,Chemical
0.0410911,3.27e-05,0,Clean
0.0,9.70528,1,Biological
0.0,96.6341,1,Biological
3.58566,0.0,1,Chemical
0.0463789,1.39e-05,0,Clean
0.0,262.668,1,Biological
0.0,182.88,1,Biological
1.7506,0.0,1,Chemical
0.0,96.6341,1,Biological
0.0613143,7.12e-05,0,Clean
0.0541299,1.45e-05,0,Clean
0.0464694,5.89e-05,0,Clean
0.0968877,5.09e-05,0,Clean
0.0140793,7.76e-05,0,Clean
9.5653,0.0,1,Chemical
2.5829,0.0,1,Chemical
8.39461,0.0,1,Chemical
0.0,6.01384,1,Biological
4.09763,0.0,1,Chemical
0.0549035,3.55e-05,0,Clean
0.0,495.898,1,Biological
3.36041,0.0,1,Chemical
0.0,182.88,1,Biological
7.87269,0.0,1,Chemical
7.50372,0.0,1,Chemical
0.0963366,4.47e-05,0,Clean
0.0,495.898,1,Biological
0.0274586,1.72e-05,0,Clean
0.0181854,5.17e-05,0,Clean
0.0537673,6.8e-06,0,Clean
6.08822,0.0,1,Chemical
0.0,318.664,1,Biological
8.91159,0.0,1,Chemical
0.0,318.664,1,Biological
0.0,485.162,1,Biological
4.45992,0.0,1,Chemical
5.96972,0.0,1,Chemical
6.51589,0.0,1,Chemical
0.0792957,7.9e-05,0,Clean
0.0641068,7.45e-05,0,Clean
0.031258,3.57e-05,0,Clean
0.0,318.664,1,Biological
0.0320481,5.51e-05,0,Clean
0.0994226,6.81e-05,0,Clean
0.0,495.898,1,Biological
0.0895777,7.55e-05,0,Clean
0.0825433,7.32e-05,0,Clean
0.0,0.953354,1,Biological
0.0838951,3.94e-05,0,Clean
0.0,318.664,1,Biological
0.0,495.898,1,Biological
1.71437,0.0,1,Chemical
9.20164,0.0,1,Chemical
0.0,318.664,1,Biological
0.0,182.88,1,Biological
0.0,36.7253,1,Biological
0.0123981,7.72e-05,0,Clean
7.29752,0.0,1,Chemical
0.0341284,6.8e-05,0,Clean
0.0,182.88,1,Biological
0.0608223,8.19e-06,0,Clean
1.74758,0.0,1,Chemical
0.0948153,3.71e-05,0,Clean
2.63577,0.0,1,Chemical
0.0577935,6.09e-05,0,Clean
5.82372,0.0,1,Chemical
0.0593005,9.31e-05,0,Clean
0.0881703,8.27e-05,0,Clean
0.0,485.162,1,Biological
0.0478014,3.42e-05,0,Clean
1.28227,0.0,1,Chemical
0.0,495.898,1,Biological
0.097901,2.3e-05,0,Clean
0.0991315,1.22e-05,0,Clean
0.0260671,9.22e-05,0,Clean
0.0294205,2.43e-05,0,Clean
0.0,30.7663,1,Biological
0.0,262.668,1,Biological
1.38999,0.0,1,Chemical
0.080726,4.5e-05,0,Clean
0.0,267.371,1,Biological
0.0,267.371,1,Biological
0.0,262.668,1,Biological
8.09168,0.0,1,Chemical
4.34238,0.0,1,Chemical
0.0,96.6341,1,Biological
2.89687,0.0,1,Chemical
7.45108,0.0,1,Chemical
9.18695,0.0,1,Chemical
9.85643,0.0,1,Chemical
0.0781734,5.19e-05,0,Clean
9.54642,0.0,1,Chemical
5.87553,0.0,1,Chemical
7.30316,0.0,1,Chemical
0.0,96.6341,1,Biological
0.0175232,2.46e-05,0,Clean
4.10939,0.0,1,Chemical
0.0,318.664,1,Biological
0.0,43.6555,1,Biological
0.031924,6.72e-05,0,Clean
5.33347,0.0,1,Chemical
0.0,495.898,1,Biological
0.0213631,6.21e-05,0,Clean
0.0215546,9.08e-06,0,Clean
8.63637,0.0,1,Chemical
0.0,96.6341,1,Biological
0.0855263,5.9e-05,0,Clean
2.2749,0.0,1,Chemical
8.96509,0.0,1,Chemical
2.06439,0.0,1,Chemical
0.0857849,6.8e-05,0,Clean
0.0741183,6.28e-05,0,Clean
0.0189109,9.94e-06,0,Clean
0.0,495.898,1,Biological
2.98736,0.0,1,Chemical
3.2015,0.0,1,Chemical
7.81708,0.0,1,Chemical
8.54056,0.0,1,Chemical
0.0377396,6.14e-05,0,Clean
0.0,267.371,1,Biological
3.91051,0.0,1,Chemical
3.89579,0.0,1,Chemical
0.0775731,7.71e-05,0,Clean
8.07156,0.0,1,Chemical
0.0,182.88,1,Biological
2.8919,0.0,1,Chemical
9.07854,0.0,1,Chemical
0.0511542,1.46e-06,0,Clean
5.75312,0.0,1,Chemical
0.0,25.9786,1,Biological
0.0,495.898,1,Biological
9.77538,0.0,1,Chemical
2.07342,0.0,1,Chemical
0.0,267.371,1,Biological
6.97002,0.0,1,Chemical
0.016673,7.59e-05,0,Clean
5.51077,0.0,1,Chemical
0.0,318.664,1,Biological
3.47901,0.0,1,Chemical
0.0,48.9267,1,Biological
0.0912649,7.52e-05,0,Clean
0.0345636,4.81e-05,0,Clean
0.0,96.6341,1,Biological
2.23809,0.0,1,Chemical
2.53042,0.0,1,Chemical
0.0,262.668,1,Biological
2.99035,0.0,1,Chemical
0.0436211,1.51e-05,0,Clean
0.0,96.6341,1,Biological
2.61235,0.0,1,Chemical
4.45763,0.0,1,Chemical
0.0,262.668,1,Biological
0.0,182.88,1,Biological
0.0813188,3.12e-05,0,Clean
5.24706,0.0,1,Chemical
9.64834,0.0,1,Chemical
2.91695,0.0,1,Chemical
0.0,182.88,1,Biological
9.97608,0.0,1,Chemical
0.0236691,1.08e-05,0,Clean
2.76686,0.0,1,Chemical
9.78098,0.0,1,Chemical
0.0230325,6.04e-05,0,Clean
0.0730514,6.94e-05,0,Clean
1.09638,0.0,1,Chemical
0.0498593,6.6e-05,0,Clean
0.0,182.88,1,Biological
3.98549,0.0,1,Chemical
1.98595,0.0,1,Chemical
0.0,485.162,1,Biological
0.0812851,2.17e-05,0,Clean
0.0,16.6977,1,Biological
0.0313929,1.05e-05,0,Clean
4.771,0.0,1,Chemical
9.10118,0.0,1,Chemical
9.23537,0.0,1,Chemical
1.13284,0.0,1,Chemical
0.0915021,8.75e-05,0,Clean
0.0357294,5.9e-06,0,Clean
0.0,495.898,1,Biological
0.0426731,6.7e-05,0,Clean
0.0560172,1.75e-05,0,Clean
0.0596233,8.64e-05,0,Clean
0.0,36.7085,1,Biological
0.0,33.4494,1,Biological
4.34573,0.0,1,Chemical
0.0996893,7.93e-05,0,Clean
0.0,318.664,1,Biological
0.0400414,3.76e-05,0,Clean
0.0,485.162,1,Biological
0.0976205,4.99e-05,0,Clean
0.0628383,3.67e-05,0,Clean
0.0,485.162,1,Biological
7.98659,0.0,1,Chemical
2.54333,0.0,1,Chemical
8.48515,0.0,1,Chemical
4.31124,0.0,1,Chemical
0.0,262.668,1,Biological
0.0274919,3.39e-05,0,Clean
0.0796317,5.93e-05,0,Clean
0.0722537,18.4482,1,Biological
0.0,7.12156,1,Biological
3.33074,0.0,1,Chemical
0.0,262.668,1,Biological
0.0,267.371,1,Biological
0.0,35.2595,1,Biological
2.34791,0.0,1,Chemical
0.0,318.664,1,Biological
0.0,182.88,1,Biological
0.0,318.664,1,Biological
0.0,485.162,1,Biological
4.81634,0.0,1,Chemical
2.06623,0.0,1,Chemical
0.0,495.898,1,Biological
0.0,318.664,1,Biological
3.11996,0.0,1,Chemical
4.64079,0.0,1,Chemical
0.0843904,9.69e-05,0,Clean
0.0,262.668,1,Biological
0.0,4.93296,1,Biological
0.0940378,9.94e-05,0,Clean
4.51041,0.0,1,Chemical
2.28276,0.0,1,Chemical
6.94797,0.0,1,Chemical
2.49618,0.0,1,Chemical
1.46038,0.0,1,Chemical
5.44024,0.0,1,Chemical
9.46138,0.0,1,Chemical
4.65112,0.0,1,Chemical
0.0668966,6.55e-06,0,Clean
0.0,96.6341,1,Biological
0.0441361,3.45e-05,0,Clean
0.0440275,5.26e-05,0,Clean
0.0,18.8862,1,Biological
0.0,29.6321,1,Biological
0.0451359,5.97e-05,0,Clean
0.023288,4.08e-05,0,Clean
9.51154,0.0,1,Chemical
4.02982,0.0,1,Chemical
3.06928,0.0,1,Chemical
0.0692619,2.46e-05,0,Clean
0.0,485.162,1,Biological
1.05815,0.0,1,Chemical
0.0138377,9.36e-07,0,Clean
0.0630094,24.4536,1,Biological
0.0,41.5018,1,Biological
0.0683645,5.09e-05,0,Clean
7.36616,0.0,1,Chemical
0.0515697,6.24e-05,0,Clean
7.04607,0.0,1,Chemical
9.19721,0.0,1,Chemical
7.05764,0.0,1,Chemical
0.0,318.664,1,Biological
8.3141,0.0,1,Chemical
0.0,18.613,1,Biological
5.64044,0.0,1,Chemical
0.0951792,5.9e-05,0,Clean
0.0,495.898,1,Biological
0.0,318.664,1,Biological
0.0945306,8.1e-06,0,Clean
4.3109,0.0,1,Chemical
0.0,18.5594,1,Biological
3.25814,0.0,1,Chemical
0.0,495.898,1,Biological
0.0378054,6.34e-05,0,Clean
9.57024,0.0,1,Chemical
0.0589648,9.28e-05,0,Clean
4.28853,0.0,1,Chemical
0.0949383,7.35e-05,0,Clean
1.16234,0.0,1,Chemical
0.0,36.9581,1,Biological
1.88187,0.0,1,Chemical
0.0980405,8.94e-05,0,Clean
5.85003,0.0,1,Chemical
3.91065,0.0,1,Chemical
0.0724781,2.62e-05,0,Clean
4.17601,0.0,1,Chemical
3.41229,0.0,1,Chemical
8.38345,0.0,1,Chemical
0.0,495.898,1,Biological
0.0833485,6.3e-05,0,Clean
4.95366,0.0,1,Chemical
6.61322,0.0,1,Chemical
3.34215,0.0,1,Chemical
3.40373,0.0,1,Chemical
2.84238,0.0,1,Chemical
6.19724,0.0,1,Chemical
0.0975953,3.64e-05,0,Clean
1.33374,0.0,1,Chemical
0.0,96.6341,1,Biological
0.0,182.88,1,Biological
0.0952023,9.31e-05,0,Clean
0.0364813,5.62e-05,0,Clean
7.7134,0.0,1,Chemical
0.0,495.898,1,Biological
4.44993,0.0,1,Chemical
0.089186,1.61e-06,0,Clean
0.0,96.6341,1,Biological
0.0,318.664,1,Biological
9.94044,0.0,1,Chemical
0.0554619,3.95e-05,0,Clean
3.22272,0.0,1,Chemical
0.0,485.162,1,Biological
0.0,29.1122,1,Biological
6.25374,0.0,1,Chemical
0.0909494,9.28e-05,0,Clean
5.12804,0.0,1,Chemical
0.065365,4.56e-05,0,Clean
9.25314,0.0,1,Chemical
1.74577,0.0,1,Chemical
0.0586788,4.96e-05,0,Clean
0.0,318.664,1,Biological
9.69275,0.0,1,Chemical
0.070884,1.11e-05,0,Clean
6.10057,0.0,1,Chemical
0.0,96.6341,1,Biological
9.31969,0.0,1,Chemical
0.0,318.664,1,Biological
0.0594029,6.58e-06,0,Clean
0.0915549,9.97e-05,0,Clean
0.0,34.6867,1,Biological
0.0186841,7.87e-05,0,Clean
7.80703,0.0,1,Chemical
0.0625447,9.47e-05,0,Clean
6.64664,0.0,1,Chemical
0.0,495.898,1,Biological
4.70728,0.0,1,Chemical
4.20796,0.0,1,Chemical
0.0,36.0968,1,Biological
8.65885,0.0,1,Chemical
0.0157199,3.7e-05,0,Clean
0.0,26.4241,1,Biological
4.58962,0.0,1,Chemical
3.15694,0.0,1,Chemical
5.3884,0.0,1,Chemical
0.0,318.664,1,Biological
9.53803,0.0,1,Chemical
0.0,318.664,1,Biological
0.0369372,1.06e-06,0,Clean
0.0,23.8301,1,Biological
7.77205,0.0,1,Chemical
0.0852059,9.43e-05,0,Clean
8.34691,0.0,1,Chemical
0.0903929,6.82e-05,0,Clean
0.0,262.668,1,Biological
0.0,262.668,1,Biological
0.0,262.668,1,Biological
0.0,267.371,1,Biological
4.94137,0.0,1,Chemical
8.53989,0.0,1,Chemical
0.0,262.668,1,Biological
0.0,318.664,1,Biological
0.0,318.664,1,Biological
4.44125,0.0,1,Chemical
0.0,262.668,1,Biological
0.0,262.668,1,Biological
0.0331481,5.84e-05,0,Clean
0.0873273,8.72e-05,0,Clean
1.71922,0.0,1,Chemical
0.0398302,6.07e-05,0,Clean
0.0756583,4.21e-05,0,Clean
7.96168,0.0,1,Chemical
0.0,495.898,1,Biological
8.63722,0.0,1,Chemical
5.80553,0.0,1,Chemical
0.0520339,2.83e-05,0,Clean
0.0,39.878,1,Biological
7.17277,0.0,1,Chemical
7.4974,0.0,1,Chemical
0.0,27.9,1,Biological
9.39342,0.0,1,Chemical
0.0,96.6341,1,Biological
0.0,182.88,1,Biological
1.36962,0.0,1,Chemical
0.0641396,1.54e-05,0,Clean
0.0,318.664,1,Biological
0.0964922,9.19e-05,0,Clean
9.56384,0.0,1,Chemical
0.0,182.88,1,Biological
0.0,19.8657,1,Biological
0.0196041,1.34e-05,0,Clean
0.0594615,9.11e-05,0,Clean
0.0,267.371,1,Biological
0.084257,1.53e-05,0,Clean
0.0,182.88,1,Biological
0.0,495.898,1,Biological
0.0,267.371,1,Biological
0.0,15.6288,1,Biological
8.00229,0.0,1,Chemical
6.21092,0.0,1,Chemical
5.19476,0.0,1,Chemical
2.30042,0.0,1,Chemical
0.0,96.6341,1,Biological
0.0,182.88,1,Biological
0.0,495.898,1,Biological
7.93619,0.0,1,Chemical
0.0968463,3.33e-06,0,Clean
1.07141,0.0,1,Chemical
0.0902563,7.07e-05,0,Clean
0.0372935,4.36e-05,0,Clean
1.58535,0.0,1,Chemical
8.02148,0.0,1,Chemical
0.0,495.898,1,Biological
0.0,485.162,1,Biological
0.0,318.664,1,Biological
0.0,262.668,1,Biological
0.0945868,5.71e-06,0,Clean
0.0,262.668,1,Biological
0.0,485.162,1,Biological
5.43302,0.0,1,Chemical
8.41719,0.0,1,Chemical
5.18844,0.0,1,Chemical
0.0,182.88,1,Biological
7.87614,0.0,1,Chemical
0.0824834,9.78e-05,0,Clean
6.72396,0.0,1,Chemical
5.88785,0.0,1,Chemical
4.26697,0.0,1,Chemical
0.0,485.162,1,Biological
0.0,267.371,1,Biological
4.33524,0.0,1,Chemical
9.0289,0.0,1,Chemical
1.50108,0.0,1,Chemical
8.4429,0.0,1,Chemical
0.0,318.664,1,Biological
3.38213,0.0,1,Chemical
0.0826139,7.21e-05,0,Clean
6.60596,0.0,1,Chemical
6.53822,0.0,1,Chemical
1.48841,0.0,1,Chemical
0.0756298,6.69e-05,0,Clean
3.83969,0.0,1,Chemical
